url, extension, reason_for_invalidation
https://api.github.com/repos/spring-projects/spring-boot/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/resilience4j/resilience4j/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/spring-projects/spring-security/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/apache/kudu/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/spring-guides/tut-spring-security-and-angular-js/contents/CONTRIBUTING.adoc,adoc,contributing size < 0.5kB.
https://api.github.com/repos/debiki/talkyard/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/aws-samples/aws-workshop-for-kubernetes/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/weechat/weechat/contents/Contributing.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/nanomsg/nng/contents/docs/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/asciidoctor/asciidoctor/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/asciidoctor/asciidoctor-pdf/contents/CONTRIBUTING.adoc,adoc,contributing is not in Markdown.
https://api.github.com/repos/qutebrowser/qutebrowser/contents/.github/CONTRIBUTING.asciidoc,asciidoc,contributing is not in Markdown.
https://api.github.com/repos/huangz1990/redis-3.0-annotated/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/apache/guacamole-server/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/boto/boto/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/cloudius-systems/osv/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/deepmind/lab/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/deepmind/learning-to-learn/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/django-tastypie/django-tastypie/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/FabioLolix/LinuxTimeline/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/glyptodon/guacamole-server/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/fuzzer-test-suite/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/fuzzing/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/highwayhash/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/incremental-dom/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/nsjail/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/google/skia/contents/CONTRIBUTING,no_format,contributing size < 0.5kB.
https://api.github.com/repos/GoogleChromeLabs/comlink/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/googleprojectzero/sandbox-attacksurface-analysis-tools/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/huangz1990/annotated_redis_source/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/jeremyevans/sequel/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/jiangwenyuan/nuster/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/lastpass/lastpass-cli/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/lxc/lxc/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/oneclick/rubyinstaller/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/php-http/promise/contents/CONTRIBUTING,no_format,contributing size < 0.5kB.
https://api.github.com/repos/schwabe/ics-openvpn/contents/CONTRIBUTING,no_format,contributing size < 0.5kB.
https://api.github.com/repos/soveran/cuba/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/soveran/ohm/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/torproject/tor/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/ValveSoftware/source-sdk-2013/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/varnishcache/varnish-cache/contents/CONTRIBUTING,no_format,contributing is not in Markdown.
https://api.github.com/repos/adobe-webplatform/Snap.svg/contents/CONTRIBUTING,no_format,contributing size < 0.5kB.
https://api.github.com/repos/wvanbergen/request-log-analyzer/contents/CONTRIBUTING.rdoc,rdoc,contributing is not in Markdown.
https://api.github.com/repos/ruby/rake/contents/CONTRIBUTING.rdoc,rdoc,contributing is not in Markdown.
https://api.github.com/repos/wvanbergen/chunky_png/contents/CONTRIBUTING.rdoc,rdoc,contributing is not in Markdown.
https://api.github.com/repos/pallets/flask/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/django/django/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/ageitgey/face_recognition/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/python/cpython/contents/.github/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/apache/airflow/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/celery/celery/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/instillai/TensorFlow-Course/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/sanic-org/sanic/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/spotify/luigi/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/ray-project/ray/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/powerline/powerline/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/quantopian/zipline/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/heartexlabs/labelImg/contents/CONTRIBUTING.rst,rst,contributing size < 0.5kB.
https://api.github.com/repos/python-telegram-bot/python-telegram-bot/contents/.github/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/joke2k/faker/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/gunthercox/ChatterBot/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/aio-libs/aiohttp/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/getpelican/pelican/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/pallets/click/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/beetbox/beets/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
